21,21,21,22,17,17,17,17,17,4,5,5,6,17,54,54,54,53,53,17,17,17,17,17,21,21,17,17,17
17,17,17,30,17,17,17,17,17,12,13,13,14,17,61,62,62,62,60,17,17,17,17,17,21,21,17,17,17
17,17,17,38,17,17,17,17,17,12,13,13,14,17,61,60,60,62,60,17,17,17,17,17,21,21,17,17,17
17,17,17,38,2,17,17,17,2,20,21,21,22,2,68,69,70,70,69,2,17,17,17,17,21,21,17,17,17
17,17,17,38,2,17,17,17,2,28,29,29,30,2,76,76,76,76,76,2,17,17,17,17,21,21,17,17,17
17,17,17,38,2,17,17,17,2,36,37,37,38,2,76,76,76,76,76,2,17,17,17,17,21,21,17,17,17
17,17,17,38,2,17,17,17,2,36,37,37,38,2,76,76,76,76,76,2,17,17,17,17,21,21,17,17,17
93,93,93,94,2,17,17,17,2,44,45,45,46,2,92,93,93,93,94,2,17,17,17,17,21,21,17,17,17
2,2,2,2,2,17,17,17,2,2,2,2,2,2,2,2,2,2,2,2,17,17,17,17,21,21,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,17,17,17
17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,17,17,17
53,53,54,53,52,54,54,52,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,17,21,21,17,17,17
62,61,61,60,62,61,62,61,17,17,17,17,2,2,4,5,5,5,5,5,6,2,2,2,21,21,17,17,17
61,61,60,60,60,62,61,61,17,17,17,17,2,2,12,13,13,13,13,13,14,2,2,2,21,21,17,17,17
61,61,62,61,60,62,60,61,17,17,17,17,2,2,12,13,13,13,13,13,14,2,2,2,21,21,17,17,17
70,68,69,68,68,69,69,70,3,2,3,3,3,3,12,13,13,13,13,13,14,2,2,2,21,21,17,17,17
29,29,29,29,29,29,29,30,2,2,2,2,2,2,12,13,13,13,13,13,14,2,2,2,21,21,17,17,17
37,37,37,37,37,37,37,38,2,2,2,2,2,2,20,21,21,21,21,21,22,2,2,2,21,21,17,17,17
37,37,37,37,37,37,37,38,2,2,2,2,2,2,12,13,13,13,13,13,14,2,2,2,21,21,17,17,17
37,37,37,37,37,37,37,38,2,2,2,2,2,2,12,13,13,13,13,13,14,2,2,2,21,21,17,17,17
